1,Hg0.7Cd0.3Te,0.35
2,CuBr,3.08
3,LuP,1.3
4,Cu3SbSe4,0.4
5,ZnO,3.44
6,PtSb2,0.08
7,ZnIn2S4,2.68
8,K2Cd3Te4,2.26
9,K4Sn3Ce3S14,2.46
10,Pb6B2CrO12,1.8
11,InSb,0.22
12,Sr2Be2B2O7,8
13,K2CuNbS4,2.82
14,PrTe2,1.02
15,BAs,1.46
16,Ba4Ga4GeSe12,2.18
17,CuBr,2.94
18,HgSe,0.07
19,AgIn5Te8,0.47
20,Rb7Th2P6Se21,2.07
21,TlS,1.37
22,CdS,2.5
23,Al2Se3,3.1
24,In2GeTe3,0.68
25,BiSeBr,1.5
26,GaAs0.4P0.6,2.1
27,K2AuPS4,2.63
28,CsH3Se2O6,4.77
29,CsB3GeO7,5.76
30,Pb0.97Sn0.03Te,0.3
31,PtAs2,0.55
32,SnGa4S7,3.1
33,Si3N4,5.1
34,Gd1.05Sc0.95Se3,1.2
35,Cs2ZnGe3Se8,2.31
36,CeO2,3.41
37,KAgAsS2,2.21
38,Mn11Si19,0.8
39,SrTe,3.73
40,Pb0.97Se0.97Sn0.03Se0.03,0.21
41,LaCuOS,3.14
42,AlSb,1.67
43,Tl2AuPS4,2.2
44,Cs3Sn3F2Cl7,2.96
45,Cs1.13Cd1.13Bi2.87Se6,1
46,AgI,3.02
47,PtSb2,0.11
48,Hg0.1Zn0.9Te,1.83
49,TlBiTe3,0.5
50,CuCl,3.24
51,Pb0.92Sn0.08Se,0.06
52,CdSe,1.75
53,Cu3SbS4,0.75
54,GaAs,1.46
55,As2Te3,1.76
56,SrB6,3.68
57,GaN,3.25
58,Cd3As2,0.24
59,WO3,2.9
60,EuYb2Se4,1.3
61,Bi2Te2.4Se0.6,0.25
62,Ge0.3Si0.7,1
63,CuN3,4.17
64,CdP4,1.05
65,MnI2,4.4
66,InSb,0.24
67,TmAs,1.18
68,CdS,2.6
69,Ga0.3As0.3Zn0.7Se0.7,1.93
70,Cd4GdB3O10,3.8
71,Cd3P2,0.54
72,SmAs,1.03
73,RbSbS2,2.1
74,Na5GdMo4O16,3.38
75,Sr2V2Se3O15,2.96
76,UP2S7,1.41
77,GaAs,1.51
78,TaON,2.8
79,RbBr,7.65
80,PdSe2,0.4
81,Ba3EuP3O12,4.09
82,RbBr,7.25
83,SbSeI,1.66
84,KBiSe2,0.7
85,Bi0.4Te3Sb1.6,0.21
86,Na2TeSe3,1.95
87,Tl2Te3,0.69
88,Al0.74Gd3Si0.7S7,2.34
89,CsTbZnTe3,2.12
90,BaB6,2.64
91,La5In3S9O3,2.6
92,PbN6,3.02
93,GaN,3.24
94,CaO,6.97
95,Na2S,2.4
96,Rb2Cd3Te4,2.3
97,AgI,2.8
98,CdSe,1.84
99,SnSe,1.2
100,Rb2BaNb2Se11,1.53
101,TaZrN3,1.72
102,Ba3In2P4O16,3.87
103,In0.2P0.2Ga0.8As0.8,1.58
104,RbTa3Te2O12,3.88
105,GaTe,1.8
106,ZnO,3.51
107,Ag2SnS3,1.43
108,SnSe,1.3
109,Ba2GaErTe5,1.15
110,Na3MoO4Cl,4.69
111,K2Hg3Sn2S8,2.5
112,CdSb,0.57
113,GeSe,1.22
114,HfS3,2.85
115,Ga0.9Sb0.9Hg0.1Te0.1,0.65
116,InSb2S4Cl,1.8
117,GaS,2.59
118,PtS,0.8
119,AgS,0.9
120,Cs2P2Se8,2.44
121,Y4GaSbS9,2.06
122,Zn0.55S0.55Ga0.45P0.45,2.3
123,Zn0.95S0.95Ga0.05P0.05,2.7
124,Mg2Sn,0.32
125,Ga1.002Sb0.998Te0.006,0.7
126,CsF,10
127,KSbSe2,1.14
128,Ag3AsSe3,1.98
129,As2Se3,1.84
130,LiGaSe2,3.13
131,NbSe2,1.4
132,Rb2CsSb,1.5
133,OsS2,2
134,GeS,1.8
135,RuAs2,0.8
136,InSb0.99As0.01,0.35
137,Ga1.1Sb0.9Se0.3,0.67
138,Sm2S3,2.96
139,SiP,2
140,YbB66,1.27
141,Pb0.9Sn0.1Se,0.08
142,TlTiPS5,1.3
143,CsYbMnSe3,1.6
144,K10Fe4Sn4S17,2.2
145,Pb0.95Te0.95Ge0.05S0.05,0.4
146,BaSe,3.58
147,K4In4P6Se20,2.2
148,Pb0.94Sn0.06Te,0.28
149,Bi2Te0.45Se2.55,0.2
150,KNb3Te2O12,3.52
151,Cd4P2I3,2.17
152,Cr2S3,0.9
153,InSe,1.32
154,Sr0.5TaO3,3.7
155,Tb4GaSbS9,2.44
156,Na3Sb,1.1
157,B12P2,3.3
158,Dy2Te3,0.69
159,TiTlS2,1
160,Bi2S3,1.25
161,Ba2GaYTe5,1.08
162,Pb0.99Se0.99Sn0.01Se0.01,0.31
163,Tl2InGaSe4,2.05
164,NaLaS3,2.61
165,CsGe5BO12,4.89
166,Tl2.35Sb8.65Se14,0.6
167,SnS0.8Se0.2,1.03
168,Hg3PS4,2.03
169,Zn2In2S5,2.95
170,Cs2ZnGe3Te8,1.07
171,EuSb4S7,0.98
172,PbSe,0.17
173,Na0.75Eu1.625GeSe4,2
174,PbI2,2.36
175,ZnHg3Se2Cl4,2.23
176,EuBiW2O9,3.63
177,CsSb,0.8
178,Hg2I2,2.37
179,Rb3CdB5O10,2.34
180,Hg0.5Cd0.5Se,0.8
181,TlInSe2,1.44
182,TaGaSe2,2.17
183,Ir0.67Se2,0.45
184,Bi2Se3,0.4
185,La2Ge2Se7,1.08
186,Bi12GeO20,3.25
187,CaSnO3,4.4
188,Ba2Sb7O14H,2.7
189,GaS,2.7
190,Sr3EuP3O12,3.99
191,Zn0.15Cd0.85Se,2.5
192,CuCl,3.2
193,CsLuCoS3,1.5
194,BiSBr,1.92
195,CoP2,0.35
196,NaBr,7.03
197,Pb0.95Mn0.05Te,0.37
198,TlBr,2.64
199,Ba6Ga2SnSe11,1.99
200,La4Cd4In2S13,2.27
201,CsAg2AsS3,2.7
202,HgSe,0.6
203,MnO2,1.3
204,SbSI,1.97
205,CuSbSe2,1.05
206,Ce2Sn3Se9,0.3
207,Hg0.7Cd0.3Te,0.27
208,RuSe2,1
209,Na2Hg3Ge2S8,2.68
210,Hg4P2ZrCl6,3.22
211,Cs3Bi,0.55
212,RbCd4Ga5S12,3.02
213,GaSb,0.82
214,Cs4Cu3Bi9S17,0.9
215,SeTe,1.58
216,GaTe,1.8
217,La1.86Tb1.14Ga1.67S7,2.67
218,ZnSe,2.79
219,SrPbO3,1.78
220,Na7Co2O6,0.5
221,In0.99Al0.01P,1.3
222,PbSe0.99S0.01,0.26
223,Bi2Te2Se,0.3
224,Cu3NbSe4,2.45
225,Ba4LiGa5Se12,2.65
226,GaSe,2
227,Ag3SbS3,2.08
228,Ga0.4Al0.6P,2.4
229,Tl2Se,0.37
230,RbInTe3O8,3.9
231,K2RbSb,1.2
232,Ga2Te3,1.45
233,CdIn2Te4,1.28
234,PbO2,1.45
235,AgFeTe2,0.3
236,TlCl,3.56
237,ZnSe,2.82
238,Li2WTeO6,4
239,Nd2Se3,1.75
240,SbSeI,1.91
241,K3B6O10Cl,6.89
242,ZrSe3,1.5
243,Rb5BS4O16,3.99
244,KCuThS3,2.95
245,InSb0.3As0.7,0.11
246,Cu3AsS4,1.24
247,Pr2Te3,1.3
248,Eu3Sb4S9,1.2
249,Ba2V2Te2O11,3.16
250,Na2In2GeS6,3.17
251,AlSb,1.5
252,HgIn2Se4,0.6
253,Cd4V3Te3O15,2.66
254,AgAlS2,3.13
255,Rb2Cu2SnS4,2.08
256,TlBr,3.01
257,TlTaS3,0.78
258,CuGaTe2,1
259,Cu0.35Ga1.65S2.65,2.57
260,CdBiO2Cl,3.08
261,Ga2S3,2.85
262,Si30P16Te8,1.24
263,Ga1.01Sb0.99Se0.03,0.62
264,EuHo2Se4,1.8
265,HgSe,0.1
266,As2Te3,1.72
267,GaN,3.4
268,CuCl,3.28
269,Zn0.5Hg0.5Se,0.75
270,Mg3Sb2,0.82
271,GeSe,1.28
272,TaGaS2,2.46
273,Pb0.01Sn0.99Te,0.26
274,Pb0.8Sn0.2Se,0.08
275,SmTe,0.32
276,Ce2GeSe5,1.7
277,RbBiSe2,0.9
278,GaAs0.05Sb0.95,1.28
279,CrSb2,0.16
280,La2GeSe5,1.24
